lo_en,hi_en,rate_0864080901PN,Lx_0864080901PN,rate_0864080901MOS1,Lx_0864080901MOS1,rate_0864080901MOS2,Lx_0864080901MOS2
0.5,2.0,288.2399823,80.78366187,83.68759286,80.77100908,84.74426224,80.77100908
0.1,2.4,388.00849,131.6749909,104.5994866,131.6798028,104.3117326,131.6798028
0.01,100.0,453.5041612,227.3120264,126.8709638,232.5077409,127.6780646,232.5077409
