lo_en,hi_en,rate_0864080901PN,Lx_0864080901PN,rate_0864080901MOS1,Lx_0864080901MOS1,rate_0864080901MOS2,Lx_0864080901MOS2
0.5,2.0,332.9246538,27.63552408,95.29415691,27.62457942,96.42600749,27.62457942
0.1,2.4,490.9742763,44.88110919,125.8378572,44.88242418,124.8098296,44.88242418
0.01,100.0,585.4261695,84.25814212,153.5642904,85.02767781,153.7355974,85.02767781
