lo_en,hi_en,rate_0864080901PN,Lx_0864080901PN,rate_0864080901MOS1,Lx_0864080901MOS1,rate_0864080901MOS2,Lx_0864080901MOS2
0.5,2.0,293.5448126,113.1470186,84.7413936,113.1527088,85.77933526,113.1527088
0.1,2.4,409.2440841,183.9019459,108.2617304,183.9103775,107.6968807,183.9103775
0.01,100.0,483.5497397,341.3575502,132.5466901,346.2391566,133.1598253,346.2391566
