lo_en,hi_en,rate_0864080901PN,Lx_0864080901PN,rate_0864080901MOS1,Lx_0864080901MOS1,rate_0864080901MOS2,Lx_0864080901MOS2
0.5,2.0,290.3261874,128.1571459,83.64578645,128.1298372,84.66182452,128.1298372
0.1,2.4,402.5224434,208.8696062,106.3612973,208.8771588,105.7940051,208.8771588
0.01,100.0,467.7410046,361.2974493,127.7647204,369.9726,128.2039368,369.9726
