lo_en,hi_en,rate_0864080901PN,Lx_0864080901PN,rate_0864080901MOS1,Lx_0864080901MOS1,rate_0864080901MOS2,Lx_0864080901MOS2
0.5,2.0,278.4959358,170.8168034,80.51935229,170.9033994,81.51170773,170.9033994
0.1,2.4,381.6599912,278.1744434,101.7763702,278.1833341,101.3489319,278.1833341
0.01,100.0,446.1993874,493.7677769,123.3207523,504.5678062,123.9368462,504.5678062
